networkType,batteryLevel,isCharging,updateSizeMb,usageFrequency,isCriticalUpdate,shouldUpdate
2,0.889,1,584.2,0.578,1,1
2,0.498,0,590.03,0.34,0,0
2,0.401,0,289.99,0.286,0,1
1,0.831,0,136.97,0.384,0,0
2,0.86,1,34.3,0.292,0,1
1,0.217,0,269.82,0.125,0,0
2,0.762,1,254.41,0.831,0,1
2,0.543,0,579.39,0.32,0,0
1,0.695,0,46.49,0.914,0,1
1,0.405,1,201.77,0.664,0,1
2,0.77,0,653.12,0.61,1,1
2,0.661,0,279.59,0.278,0,1
2,0.535,0,244.73,0.564,1,1
2,0.416,0,563.12,0.7,1,0
2,0.545,0,209.55,0.384,0,1
2,0.837,0,125.45,0.228,0,1
1,0.521,1,403.9,0.215,0,0
2,0.595,1,247.84,0.527,0,1
1,0.653,1,237.54,0.831,0,0
2,0.638,0,637.97,0.394,0,0
2,0.21,0,227.68,0.277,0,0
1,0.552,0,63.4,0.671,0,0
0,0.449,1,390.1,0.742,0,0
2,0.302,0,249.47,0.213,0,1
1,0.374,0,125.24,0.637,0,0
1,0.642,0,142.71,0.709,0,0
1,0.509,1,250.93,0.422,0,0
2,0.495,1,642.69,0.475,0,1
1,0.285,0,109.15,0.258,0,0
1,0.274,0,311.94,0.741,0,0
2,0.65,0,186.96,0.25,0,1
2,0.515,0,656.78,0.68,1,1
2,0.719,0,373.83,0.43,0,0
1,0.232,0,428.0,0.026,1,0
1,0.293,0,126.0,0.31,0,0
1,0.606,1,97.29,0.565,0,1
2,0.498,0,193.29,0.182,0,1
2,0.457,1,622.18,0.314,0,1
2,0.363,1,253.71,0.424,0,1
2,0.731,1,145.0,0.674,1,1
2,0.581,1,564.35,0.219,0,1
2,0.513,1,582.32,0.297,0,1
1,0.474,1,110.21,0.738,0,1
0,0.106,1,476.55,0.719,0,0
2,0.284,0,106.83,0.474,0,0
2,0.946,1,485.49,0.809,0,1
1,0.22,0,372.33,0.583,0,0
1,0.162,0,207.47,0.773,0,0
2,0.228,0,609.53,0.346,0,0
1,0.557,0,287.02,0.493,0,0
2,0.825,1,648.07,0.224,0,1
1,0.526,0,168.69,0.649,1,0
0,0.667,1,348.22,0.563,0,0
1,0.755,0,241.07,0.973,0,0
1,0.945,0,117.64,0.615,0,0
2,0.301,0,224.37,0.651,0,1
2,0.514,1,122.47,0.628,1,1
2,0.591,0,438.87,0.681,0,1
2,0.586,0,224.11,0.804,0,1
2,0.093,0,279.69,0.101,0,0
1,0.304,0,196.52,0.121,1,0
2,0.914,0,185.72,0.545,0,1
2,0.236,1,189.97,0.479,0,1
2,0.717,0,777.62,0.438,0,0
2,0.374,0,653.86,0.422,0,0
2,0.872,0,179.24,0.1,0,1
2,0.423,1,655.37,0.656,1,1
2,0.887,0,407.04,0.222,0,1
2,0.438,1,287.71,0.718,0,1
2,0.64,0,819.04,0.72,0,0
0,0.294,0,596.0,0.6,0,0
2,0.721,1,155.52,0.298,0,1
1,0.343,0,106.79,0.835,0,0
1,0.429,1,87.99,0.737,1,1
2,0.66,0,492.26,0.731,0,1
2,0.679,0,318.14,0.461,0,1
2,0.402,1,465.27,0.116,0,1
1,0.233,0,431.28,0.581,0,0
2,0.536,0,76.6,0.844,1,1
2,0.706,0,287.66,0.126,0,1
2,0.562,0,315.71,0.661,0,1
2,0.552,0,523.94,0.108,1,1
2,0.823,0,453.9,0.768,0,1
1,0.77,0,78.18,0.848,0,1
2,0.557,1,259.54,0.812,1,1
1,0.534,0,303.03,0.218,1,0
2,0.707,0,136.55,0.656,0,1
1,0.337,0,326.56,0.351,0,0
2,0.469,1,357.16,0.329,0,1
2,0.58,0,321.41,0.131,0,1
2,0.816,0,526.56,0.299,0,0
2,0.765,0,583.95,0.659,1,1
2,0.505,1,158.31,0.361,0,1
2,0.501,0,166.15,0.72,0,1
1,0.71,0,316.82,0.246,0,0
2,0.668,0,142.1,0.199,1,1
2,0.372,0,183.37,0.845,0,1
2,0.353,0,826.23,0.518,0,0
2,0.784,0,104.0,0.401,0,1
2,0.411,0,96.9,0.125,0,1
1,0.838,0,99.56,0.675,0,0
2,0.672,0,424.41,0.654,1,1
0,0.802,1,597.21,0.841,0,0
2,0.112,0,204.14,0.303,0,0
2,0.579,1,671.88,0.074,0,1
2,0.886,0,654.4,0.554,1,1
0,0.863,1,483.75,0.625,0,0
2,0.208,0,332.79,0.675,0,0
2,0.266,1,704.38,0.352,0,0
2,0.585,1,771.0,0.573,0,0
1,0.323,1,150.66,0.584,0,1
2,0.67,1,697.6,0.507,0,1
1,0.777,1,394.56,0.659,0,0
2,0.464,0,372.53,0.401,0,1
2,0.653,1,117.94,0.562,0,1
2,0.326,0,451.53,0.606,0,0
2,0.358,0,598.99,0.503,1,1
2,0.513,0,273.14,0.136,0,1
2,0.763,1,233.22,0.534,0,1
1,0.695,1,46.86,0.875,1,1
2,0.379,1,311.32,0.5,1,1
1,0.37,1,61.73,0.973,0,1
2,0.381,0,228.19,0.478,0,1
2,0.1,0,67.09,0.635,0,0
2,0.866,1,125.36,0.226,0,1
1,0.238,1,440.83,0.491,1,0
2,0.796,0,462.84,0.496,1,1
0,0.459,0,72.39,0.502,0,0
0,0.727,0,680.39,0.919,1,0
2,0.791,1,111.6,0.9,0,0
2,0.486,1,429.51,0.517,0,1
1,0.734,1,15.81,0.481,0,1
2,0.648,0,465.67,0.304,0,0
1,0.425,1,80.43,0.338,0,1
1,0.365,1,261.44,0.626,0,0
1,0.306,1,257.17,0.182,0,0
2,0.343,0,68.29,0.187,0,1
2,0.833,1,302.21,0.108,0,1
2,0.835,0,567.06,0.563,0,0
2,0.434,0,97.81,0.989,1,1
2,0.895,0,202.34,0.65,1,1
2,0.366,0,383.92,0.488,1,1
1,0.875,0,144.93,0.727,0,0
2,0.166,0,594.43,0.669,0,0
1,0.28,1,197.26,0.478,0,0
2,0.475,0,146.05,0.362,0,1
1,0.858,0,344.18,0.68,1,0
2,0.735,1,198.2,0.862,0,0
2,0.657,0,340.17,0.417,0,1
2,0.529,0,474.12,0.258,0,0
0,0.639,1,179.79,0.049,1,1
2,0.461,0,701.6,0.62,0,0
2,0.397,0,278.89,0.353,0,1
2,0.265,0,173.98,0.86,0,0
2,0.596,1,134.88,0.272,0,1
2,0.548,0,92.28,0.654,0,1
2,0.624,1,289.35,0.417,0,1
2,0.187,0,361.88,0.62,0,0
0,0.869,0,549.61,0.61,1,0
2,0.647,0,480.79,0.806,1,1
0,0.655,1,238.52,0.496,0,0
1,0.598,1,79.69,0.457,0,1
1,0.831,0,79.29,0.527,0,0
0,0.211,0,536.45,0.312,0,0
2,0.419,1,598.0,0.499,0,1
2,0.699,1,192.65,0.181,0,1
1,0.696,1,101.55,0.876,0,1
2,0.715,0,389.01,0.7,0,1
2,0.484,0,134.55,0.553,1,1
1,0.571,0,200.75,0.178,0,0
1,0.867,0,286.12,0.959,1,0
0,0.791,1,25.0,0.373,1,0
1,0.361,1,168.66,0.637,0,0
2,0.826,0,319.83,0.791,0,1
2,0.611,1,259.33,0.782,0,1
2,0.628,1,260.4,0.908,0,1
2,0.779,0,182.08,0.793,0,1
1,0.873,0,283.1,0.834,0,0
1,0.73,0,98.78,0.882,0,1
2,0.432,1,417.83,0.424,0,1
2,0.462,1,769.7,0.864,0,0
2,0.475,0,250.71,0.12,0,1
2,0.521,1,243.74,0.114,0,1
2,0.755,0,435.01,0.803,1,1
1,0.289,0,87.53,0.67,0,0
2,0.55,1,306.58,0.606,0,1
2,0.969,0,403.18,0.549,0,1
2,0.337,1,114.09,0.531,0,1
1,0.506,0,103.04,0.43,0,0
2,0.759,0,259.72,0.395,0,1
2,0.455,0,138.79,0.772,0,1
2,0.655,0,242.19,0.848,0,0
2,0.962,0,535.86,0.837,0,1
1,0.245,0,95.07,0.221,0,0
0,0.273,1,594.86,0.496,0,0
1,0.895,1,167.86,0.552,0,1
2,0.609,0,194.1,0.387,0,1
1,0.114,1,214.96,0.086,0,0
1,0.289,0,361.05,0.546,0,0
2,0.92,0,534.0,0.125,0,0
1,0.84,0,453.19,0.244,0,0
2,0.19,1,721.18,0.735,0,0
2,0.208,1,491.5,0.089,0,1
2,0.388,0,456.81,0.568,0,0
1,0.655,0,96.1,0.863,0,1
2,0.632,0,58.28,0.633,0,1
1,0.672,0,298.4,0.302,1,0
1,0.59,0,194.57,0.657,0,0
2,0.252,1,334.87,0.358,1,1
2,0.25,0,485.02,0.652,0,0
1,0.72,0,309.09,0.804,0,0
2,0.483,0,126.69,0.335,1,1
2,0.449,1,319.89,0.497,0,1
2,0.521,0,48.14,0.445,0,1
2,0.727,0,645.01,0.325,0,0
1,0.477,1,203.41,0.827,0,1
1,0.368,0,169.79,0.668,0,0
2,0.735,0,398.52,0.364,1,1
2,0.806,0,528.41,0.614,0,0
1,0.854,1,30.13,0.555,0,1
2,0.194,0,471.43,0.111,0,0
2,0.47,0,234.03,0.723,0,1
2,0.636,0,126.52,0.848,0,1
2,0.16,0,202.71,0.241,1,1
2,0.949,1,190.43,0.563,0,1
2,0.509,0,597.45,0.401,0,0
2,0.659,0,206.08,0.747,0,1
1,0.77,0,342.03,0.468,1,0
2,0.654,0,411.49,0.457,0,1
2,0.143,0,338.37,0.112,0,0
1,0.432,0,271.97,0.38,1,0
1,0.812,0,239.71,0.633,0,0
1,0.241,1,185.34,0.823,0,0
2,0.556,0,791.31,0.044,0,0
2,0.128,0,333.0,0.324,0,0
1,0.604,0,95.32,0.767,0,1
2,0.755,0,565.47,0.754,0,1
2,0.481,0,373.78,0.473,0,1
1,0.687,1,289.47,0.103,0,0
1,0.552,0,74.79,0.83,0,1
1,0.313,0,209.73,0.226,0,0
1,0.713,0,427.68,0.631,0,0
2,0.76,0,740.54,0.618,1,1
2,0.818,1,377.27,0.639,0,1
1,0.079,1,394.22,0.414,0,0
2,0.474,1,249.05,0.635,1,1
1,0.145,0,106.04,0.433,0,0
2,0.387,0,326.86,0.536,0,1
2,0.659,0,239.55,0.42,1,1
2,0.277,0,360.21,0.575,0,0
2,0.875,1,311.55,0.56,1,1
2,0.244,0,585.82,0.245,0,0
2,0.758,0,777.17,0.375,0,0
2,0.82,0,779.2,0.436,0,0
1,0.864,0,354.37,0.523,0,0
2,0.816,0,166.58,0.274,0,1
2,0.324,1,313.85,0.726,0,1
2,0.643,0,98.16,0.459,0,1
2,0.47,1,213.34,0.592,0,1
1,0.537,1,43.18,0.177,0,1
0,0.62,0,232.19,0.3,1,0
2,0.369,0,293.27,0.696,1,0
2,0.492,1,630.24,0.341,0,1
1,0.982,0,115.88,0.36,0,0
2,0.113,0,518.94,0.675,0,0
2,0.841,0,526.69,0.698,0,0
2,0.555,1,316.69,0.325,0,1
1,0.293,0,430.38,0.776,1,0
2,0.67,1,11.59,0.838,0,1
2,0.496,0,478.43,0.693,0,0
0,0.555,1,676.95,0.143,0,0
0,0.445,0,294.75,0.701,0,0
1,0.356,1,77.75,0.103,0,0
1,0.615,0,130.63,0.653,0,0
2,0.633,0,77.73,0.354,0,1
2,0.426,0,326.29,0.353,0,1
2,0.714,1,718.01,0.699,1,1
2,0.453,0,234.42,0.879,0,1
1,0.756,1,301.33,0.126,0,0
0,0.279,0,168.86,0.53,0,0
1,0.987,0,84.51,0.323,1,1
0,0.365,0,499.3,0.426,0,0
1,0.911,0,264.7,0.118,0,0
1,0.802,0,75.05,0.694,1,1
1,0.709,0,20.4,0.889,0,1
2,0.916,0,173.42,0.229,1,1
2,0.479,0,202.39,0.718,1,1
2,0.857,1,596.56,0.293,0,1
1,0.746,0,296.26,0.622,0,0
2,0.727,0,416.09,0.587,1,1
1,0.801,0,120.67,0.609,1,0
1,0.582,0,337.08,0.217,0,0
2,0.237,0,470.2,0.856,0,0
2,0.76,0,53.6,0.752,0,1
1,0.763,0,75.42,0.263,1,1
1,0.754,0,102.01,0.914,0,1
2,0.707,0,203.92,0.904,0,1
2,0.523,1,104.62,0.894,0,1
2,0.188,1,638.29,0.523,1,1
2,0.528,1,169.76,0.258,0,1
1,0.615,0,286.69,0.393,0,0
1,0.559,0,150.59,0.766,0,0
1,0.86,0,162.97,0.394,1,0
2,0.352,0,569.74,0.485,1,0
1,0.625,0,394.48,0.348,1,0
1,0.873,0,108.53,0.181,0,0
1,0.877,1,52.53,0.626,0,1
2,0.154,0,336.62,0.883,0,0
1,0.555,0,135.64,0.331,0,0
2,0.728,0,433.49,0.714,0,1
2,0.039,1,718.93,0.725,0,0
1,0.874,0,227.22,0.805,0,0
1,0.609,0,109.83,0.119,0,0
1,0.359,1,97.7,0.276,0,0
2,0.595,0,130.46,0.519,1,1
2,0.473,0,328.7,0.577,0,1
2,0.666,0,672.69,0.206,0,0
2,0.351,0,760.3,0.477,0,0
2,0.739,0,190.34,0.87,0,1
1,0.438,0,233.72,0.694,0,0
1,0.68,0,186.1,0.293,0,0
1,0.409,0,93.98,0.84,0,1
1,0.581,0,126.81,0.546,0,0
2,0.245,0,283.03,0.316,0,0
2,0.068,1,622.17,0.612,0,1
0,0.605,0,379.52,0.742,0,0
1,0.785,0,91.71,0.687,0,0
2,0.441,0,133.16,0.194,0,1
2,0.852,1,217.83,0.252,0,1
2,0.673,1,205.26,0.965,0,1
1,0.68,0,341.76,0.639,0,0
2,0.622,0,178.0,0.568,0,1
2,0.633,0,560.25,0.217,0,0
2,0.676,0,426.66,0.755,1,1
2,0.613,0,302.8,0.865,0,1
1,0.893,1,233.11,0.835,0,1
2,0.849,0,226.25,0.39,0,1
1,0.551,0,81.17,0.288,1,1
1,0.728,0,350.08,0.95,0,0
1,0.276,1,25.1,0.797,0,0
1,0.504,1,50.23,0.725,0,1
2,0.533,0,331.53,0.148,0,1
2,0.841,1,340.82,0.943,0,1
2,0.519,0,739.87,0.533,1,1
2,0.58,0,714.43,0.172,0,0
2,0.588,0,368.38,0.766,0,1
1,0.634,0,248.99,0.506,1,0
1,0.694,0,365.7,0.228,0,0
2,0.516,0,115.67,0.438,1,1
1,0.566,1,108.43,0.22,0,1
2,0.128,0,349.68,0.63,0,0
1,0.2,0,289.87,0.634,0,0
2,0.206,1,63.26,0.514,0,1
2,0.322,0,765.98,0.979,0,0
1,0.622,1,395.49,0.517,0,0
1,0.595,0,125.97,0.545,0,0
1,0.62,0,52.22,0.632,0,0
1,0.603,0,284.94,0.673,0,1
2,0.736,0,402.5,0.187,1,1
1,0.454,0,440.81,0.561,0,0
2,0.72,1,154.55,0.808,0,1
2,0.733,1,206.92,0.156,0,1
2,0.372,0,490.9,0.623,0,0
1,0.525,0,317.91,0.363,1,0
1,0.772,0,280.73,0.695,0,0
1,0.659,1,372.23,0.109,1,0
1,0.79,0,274.22,0.417,0,0
0,0.557,0,50.19,0.802,0,0
2,0.814,0,351.87,0.342,1,1
1,0.671,0,277.45,0.267,0,0
1,0.212,1,157.08,0.687,0,0
0,0.664,0,247.27,0.378,1,0
1,0.892,0,116.38,0.625,0,0
2,0.51,0,149.06,0.707,0,1
2,0.374,0,254.5,0.332,0,1
2,0.553,0,182.27,0.224,0,1
2,0.551,1,127.27,0.12,0,1
2,0.786,1,666.76,0.561,0,1
2,0.584,0,524.66,0.855,0,1
2,0.898,0,149.62,0.439,0,1
2,0.58,1,377.99,0.493,1,0
2,0.729,0,95.4,0.536,0,1
2,0.738,1,68.82,0.566,0,1
2,0.871,0,367.68,0.508,0,1
2,0.45,0,174.9,0.593,0,1
2,0.478,1,621.51,0.082,0,1
1,0.163,0,181.05,0.201,0,0
2,0.647,1,82.71,0.674,0,1
2,0.033,1,80.48,0.168,0,1
1,0.674,0,164.67,0.655,0,0
2,0.85,0,154.99,0.69,1,1
1,0.86,0,75.61,0.434,0,0
2,0.111,0,322.31,0.328,0,0
0,0.424,0,131.21,0.324,0,0
2,0.717,0,477.45,0.896,0,1
1,0.522,1,23.62,0.337,0,1
1,0.428,0,347.37,0.412,1,0
1,0.399,0,130.67,0.291,0,0
1,0.782,0,352.71,0.634,0,0
2,0.737,1,175.87,0.183,0,1
1,0.575,0,63.83,0.072,0,0
1,0.825,1,258.08,0.173,1,0
2,0.644,0,637.41,0.779,0,1
0,0.457,1,613.43,0.74,0,0
2,0.735,1,299.92,0.404,0,1
1,0.566,0,207.91,0.808,1,0
2,0.518,0,120.05,0.26,0,1
2,0.447,0,748.73,0.437,0,0
2,0.707,0,186.76,0.677,0,1
2,0.57,1,116.16,0.644,0,1
2,0.117,0,153.73,0.949,0,0
2,0.4,0,224.82,0.186,0,1
1,0.557,1,73.23,0.517,0,1
2,0.684,0,508.84,0.736,0,1
2,0.753,0,643.84,0.761,1,1
2,0.46,1,469.41,0.142,0,1
2,0.548,0,431.1,0.683,0,1
1,0.699,0,263.82,0.151,0,0
2,0.793,1,606.45,0.86,0,0
1,0.051,0,83.13,0.117,0,0
1,0.941,0,304.2,0.716,1,0
1,0.895,0,134.63,0.874,0,1
2,0.708,0,710.31,0.821,0,0
2,0.342,0,443.33,0.776,0,1
2,0.588,0,146.38,0.783,1,1
2,0.696,0,219.4,0.9,1,1
1,0.701,0,150.31,0.909,0,0
2,0.388,1,290.31,0.937,0,1
2,0.502,0,482.14,0.676,0,0
2,0.355,1,344.03,0.56,0,1
2,0.505,0,150.27,0.692,1,1
2,0.219,0,413.71,0.116,0,0
2,0.67,1,242.87,0.865,0,1
2,0.565,1,245.78,0.273,1,1
2,0.748,1,377.71,0.275,0,1
0,0.815,0,431.46,0.868,0,0
2,0.327,0,62.59,0.202,1,1
2,0.708,0,145.96,0.648,0,1
1,0.822,1,47.76,0.213,1,1
2,0.845,0,389.72,0.602,0,1
2,0.857,0,398.24,0.235,0,1
2,0.136,1,142.14,0.811,0,1
1,0.536,0,357.81,0.365,0,0
2,0.683,0,624.16,0.219,0,0
2,0.274,1,64.46,0.317,0,1
2,0.581,1,127.37,0.576,0,1
1,0.379,0,87.38,0.19,0,0
2,0.398,0,316.84,0.885,0,1
2,0.404,0,83.89,0.548,0,1
2,0.685,0,595.96,0.311,0,0
1,0.779,1,379.67,0.284,1,0
2,0.979,0,261.92,0.297,1,0
2,0.256,0,587.95,0.622,1,1
2,0.555,0,377.17,0.91,0,1
1,0.315,0,119.82,0.824,0,0
2,0.482,0,840.5,0.329,0,0
1,0.084,0,109.05,0.229,0,0
2,0.743,1,463.97,0.425,0,1
1,0.619,0,109.1,0.531,0,0
2,0.375,1,300.06,0.313,0,1
2,0.352,0,511.18,0.205,0,0
2,0.805,1,749.33,0.458,0,0
1,0.46,1,235.87,0.702,0,0
2,0.469,1,139.19,0.489,0,1
2,0.413,0,287.41,0.268,0,1
2,0.491,0,108.36,0.523,0,0
2,0.677,0,169.43,0.243,0,1
1,0.487,0,104.19,0.911,0,1
2,0.586,0,665.77,0.832,0,0
2,0.6,1,599.01,0.638,0,1
0,0.459,0,275.25,0.742,0,0
2,0.519,0,123.9,0.543,0,1
2,0.319,0,178.65,0.8,0,1
1,0.608,0,169.74,0.844,0,0
2,0.653,0,170.14,0.457,0,1
2,0.529,0,210.01,0.215,0,1
1,0.361,0,60.71,0.215,0,0
1,0.503,0,386.08,0.127,0,0
1,0.47,0,289.94,0.866,0,0
2,0.646,0,151.42,0.609,0,1
2,0.838,1,429.09,0.466,1,1
2,0.444,1,562.3,0.502,0,0
2,0.718,1,441.84,0.833,0,0
2,0.834,0,795.99,0.827,0,0
1,0.831,0,125.91,0.59,0,0
1,0.309,0,293.15,0.594,0,0
2,0.511,1,450.29,0.664,0,1
2,0.625,0,217.57,0.647,1,1
2,0.317,1,175.59,0.86,0,1
1,0.218,0,158.59,0.211,0,0
2,0.75,0,448.37,0.226,0,1
2,0.906,0,217.74,0.7,0,1
2,0.603,0,95.21,0.7,0,1
2,0.188,0,246.71,0.642,1,1
0,0.269,1,225.41,0.32,0,0
2,0.383,0,336.88,0.63,0,0
2,0.248,0,481.15,0.375,0,0
2,0.669,1,279.08,0.244,0,1
2,0.576,0,207.89,0.455,0,1
2,0.776,0,378.23,0.842,1,1
1,0.879,1,322.37,0.197,0,0
2,0.885,1,158.98,0.264,0,1
2,0.787,1,246.82,0.776,0,1
1,0.633,1,157.51,0.251,1,1
2,0.793,0,147.4,0.44,0,1
2,0.644,1,135.45,0.526,1,1
0,0.734,0,691.72,0.032,1,0
1,0.764,0,272.09,0.164,0,0
2,0.177,0,334.21,0.792,1,1
1,0.681,1,234.33,0.643,0,0
1,0.696,1,68.28,0.721,0,1
0,0.141,0,343.56,0.729,0,0
2,0.605,0,632.44,0.713,0,1
2,0.895,1,523.15,0.419,0,1
2,0.671,0,279.47,0.189,1,1
1,0.702,0,42.14,0.586,0,1
2,0.572,0,376.71,0.738,0,1
2,0.776,1,722.91,0.463,0,0
2,0.341,1,439.78,0.539,0,1
2,0.677,1,170.41,0.748,0,1
1,0.534,0,124.4,0.104,0,0
1,0.237,0,191.06,0.683,0,0
2,0.669,0,623.56,0.148,0,0
0,0.758,0,685.92,0.589,0,0
2,0.557,0,169.57,0.054,0,1
2,0.662,1,247.1,0.445,0,1
2,0.852,1,518.46,0.46,0,1
1,0.903,0,78.91,0.357,0,0
2,0.691,0,190.08,0.336,0,1
0,0.359,0,175.1,0.684,0,0
2,0.287,1,302.08,0.723,0,0
2,0.826,0,132.83,0.708,0,1
2,0.573,0,487.54,0.886,0,1
2,0.85,0,569.07,0.393,1,1
2,0.607,0,653.44,0.257,0,0
2,0.591,0,232.82,0.433,0,1
2,0.842,1,352.47,0.096,0,1
2,0.625,1,512.4,0.391,0,1
1,0.672,0,328.85,0.601,0,0
2,0.419,1,659.99,0.799,0,1
1,0.422,0,252.2,0.427,0,0
2,0.469,1,425.11,0.656,1,1
2,0.73,1,199.53,0.505,1,1
2,0.484,0,769.86,0.613,0,0
2,0.825,0,565.32,0.565,0,0
2,0.325,0,180.82,0.218,0,1
2,0.447,0,532.13,0.284,0,0
2,0.591,0,196.46,0.292,0,1
2,0.258,1,230.35,0.23,1,1
2,0.395,0,65.33,0.192,0,1
1,0.477,0,121.92,0.794,0,1
2,0.383,1,436.75,0.137,0,1
1,0.779,1,395.12,0.869,1,1
1,0.293,0,96.1,0.545,0,0
2,0.405,1,201.47,0.865,0,1
1,0.455,0,286.62,0.347,0,0
1,0.785,1,152.88,0.516,0,1
1,0.405,0,82.97,0.345,1,1
1,0.712,1,120.52,0.641,0,1
2,0.426,0,539.7,0.363,0,0
2,0.122,0,100.46,0.358,0,0
1,0.451,0,100.61,0.283,1,1
2,0.407,1,113.6,0.533,0,1
2,0.364,0,525.33,0.311,0,0
2,0.345,0,272.4,0.215,0,1
1,0.619,0,196.93,0.292,0,0
2,0.558,1,501.72,0.77,1,1
2,0.353,1,518.33,0.123,0,1
2,0.646,1,490.3,0.505,0,1
2,0.346,0,185.11,0.912,0,1
1,0.698,1,197.35,0.4,1,1
1,0.825,0,181.17,0.282,0,0
2,0.353,0,148.86,0.247,1,1
2,0.898,1,307.76,0.184,0,1
2,0.907,0,152.38,0.289,0,1
2,0.797,0,382.62,0.342,1,1
1,0.807,1,93.47,0.192,0,1
2,0.71,0,50.0,0.323,0,1
2,0.44,0,376.86,0.705,1,1
2,0.693,0,224.71,0.129,0,1
1,0.324,0,124.0,0.317,0,0
2,0.65,1,200.5,0.721,0,1
2,0.297,1,506.52,0.142,0,1
2,0.584,1,124.54,0.606,1,1
1,0.398,1,9.39,0.868,1,1
2,0.799,0,301.94,0.079,0,1
2,0.328,0,97.63,0.333,1,1
1,0.597,0,126.36,0.868,0,1
1,0.683,0,134.06,0.552,0,0
1,0.774,0,35.8,0.568,0,1
1,0.378,0,57.33,0.11,0,0
1,0.595,1,70.39,0.466,0,1
2,0.847,0,231.38,0.426,0,1
2,0.235,0,27.86,0.766,0,0
0,0.626,0,649.68,0.402,0,0
2,0.586,0,172.38,0.209,0,1
2,0.538,0,168.38,0.968,0,1
1,0.502,0,423.51,0.39,0,0
2,0.499,0,143.79,0.743,0,1
1,0.36,0,36.85,0.822,0,1
2,0.362,0,368.43,0.414,0,1
1,0.744,1,275.19,0.938,0,0
2,0.822,0,322.21,0.583,0,1
0,0.619,0,6.41,0.349,0,0
1,0.254,0,455.42,0.357,0,0
1,0.324,0,289.34,0.268,0,1
0,0.601,0,346.45,0.742,0,0
1,0.703,1,200.56,0.447,0,1
2,0.473,1,293.75,0.661,0,1
2,0.652,1,198.74,0.485,0,1
2,0.517,0,556.63,0.418,0,0
2,0.637,0,475.56,0.472,1,1
2,0.38,1,727.59,0.393,0,0
2,0.402,0,733.6,0.107,0,0
2,0.612,0,577.14,0.355,0,0
2,0.576,0,286.64,0.624,0,1
2,0.34,1,459.04,0.353,0,1
2,0.264,0,303.42,0.716,0,0
2,0.508,1,545.65,0.83,1,1
2,0.579,0,134.49,0.916,0,1
1,0.349,0,103.35,0.94,1,1
2,0.464,1,477.51,0.83,0,1
0,0.655,0,669.44,0.199,0,0
1,0.882,0,87.51,0.357,1,1
0,0.572,1,623.94,0.092,1,0
1,0.391,0,92.69,0.547,0,0
2,0.572,0,125.59,0.338,0,1
1,0.42,0,216.8,0.068,1,0
2,0.762,0,651.74,0.477,0,0
2,0.971,0,493.72,0.898,0,1
2,0.345,1,59.59,0.789,0,1
2,0.361,0,186.94,0.332,0,1
1,0.981,0,170.2,0.202,1,0
2,0.921,1,185.6,0.835,0,1
2,0.471,1,653.3,0.375,0,1
1,0.883,0,406.58,0.176,1,0
2,0.72,1,308.72,0.564,0,1
2,0.456,0,120.86,0.879,0,1
1,0.918,0,121.05,0.382,1,0
1,0.772,0,57.9,0.385,0,0
2,0.333,0,784.59,0.619,0,0
1,0.435,0,76.69,0.616,0,0
2,0.437,1,507.42,0.246,0,1
2,0.88,1,323.97,0.357,0,1
1,0.588,1,107.51,0.885,1,1
1,0.413,0,138.7,0.867,0,1
1,0.828,0,69.87,0.848,0,1
1,0.634,0,191.69,0.871,0,0
1,0.605,0,277.12,0.687,0,0
1,0.706,1,321.69,0.465,0,0
2,0.172,0,118.7,0.596,0,0
2,0.123,0,463.47,0.825,0,0
2,0.264,1,197.95,0.538,0,1
1,0.779,0,175.98,0.126,0,0
1,0.653,1,231.73,0.736,0,0
2,0.538,1,201.75,0.138,0,1
2,0.219,0,631.52,0.412,0,0
1,0.861,0,166.9,0.539,0,0
2,0.53,0,169.83,0.762,0,1
0,0.513,0,681.5,0.551,0,0
1,0.401,0,79.2,0.274,1,1
2,0.807,0,310.89,0.777,0,1
2,0.457,0,25.08,0.617,0,1
1,0.318,0,201.82,0.893,1,0
2,0.457,0,97.38,0.911,1,1
2,0.575,0,404.11,0.492,0,1
2,0.296,0,556.16,0.075,0,0
2,0.835,0,703.54,0.407,0,0
2,0.805,1,185.63,0.566,0,1
2,0.535,0,333.67,0.246,0,1
1,0.145,0,166.54,0.287,0,1
2,0.242,0,485.33,0.215,0,0
1,0.391,0,86.56,0.598,0,0
2,0.486,1,853.99,0.488,0,0
2,0.709,1,145.54,0.267,1,1
2,0.373,0,265.14,0.109,0,1
2,0.872,0,191.49,0.615,1,1
1,0.774,0,479.24,0.074,0,1
2,0.368,0,508.11,0.355,0,0
2,0.787,1,715.95,0.657,0,0
2,0.476,0,802.52,0.324,1,1
2,0.87,0,396.23,0.689,0,1
1,0.508,0,409.57,0.839,0,0
2,0.194,1,288.35,0.606,0,1
1,0.297,0,311.2,0.464,1,0
1,0.398,0,164.24,0.638,1,0
2,0.919,0,191.96,0.822,0,1
1,0.484,0,297.72,0.723,0,0
0,0.492,0,146.32,0.704,0,0
1,0.136,0,111.98,0.548,0,1
2,0.491,0,451.73,0.356,1,1
1,0.864,0,133.94,0.528,0,1
1,0.773,0,39.69,0.107,0,1
2,0.175,1,397.87,0.463,1,1
2,0.712,0,413.12,0.433,0,1
2,0.232,1,414.82,0.37,0,1
2,0.828,0,524.38,0.402,0,0
